[2022-02-11 16:10:36,674] - Logs.py] - ERROR: 打开浏览器异常
[2022-02-11 16:10:56,339] - Logs.py] - INFO: 打开浏览器成功
[2022-02-11 16:10:56,368] - Logs.py] - INFO: 输入账号成功
[2022-02-11 16:10:56,394] - Logs.py] - INFO: 输入密码成功
[2022-02-11 16:10:56,503] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:10:59,364] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:01,628] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:03,645] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:03,646] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:03,699] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:03,866] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:06,112] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:08,122] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:08,122] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:08,175] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:08,333] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:10,591] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:12,612] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:12,612] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:12,669] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:12,842] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:15,135] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:17,149] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:17,150] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:17,214] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:17,392] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:19,657] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:21,666] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:21,667] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:21,721] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:21,883] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:24,144] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:26,157] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-02-11 16:11:26,158] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:26,212] - Logs.py] - INFO: 保存页面截图成功
[2022-02-11 16:11:26,387] - Logs.py] - INFO: 清理成功
[2022-02-11 16:11:28,658] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:28,681] - Logs.py] - INFO: 点击登陆成功
[2022-02-11 16:11:29,037] - Logs.py] - INFO: 点击成功
[2022-02-11 16:11:30,334] - Logs.py] - INFO: 点击成功
[2022-02-11 16:11:32,653] - Logs.py] - INFO: 点击成功
